,joblinks
68,https://in.linkedin.com/jobs/view/market-research-analyst-consumer-products-hyderabad-or-gurgaon-at-capital-placement-services-gurgaon-delhi-noida-manesar-bawal-neemrana-bhiwadi-sohna-road-3792380999?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=aKwWTWZNgvC%2FU%2FS8mumAFg%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
69,https://in.linkedin.com/jobs/view/business-analyst-at-fusion-plus-solutions-inc-3769087202?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=z5rViLeFq9HR2QKyWg40yw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
70,https://in.linkedin.com/jobs/view/business-analyst-at-beyond-pinks-3656594743?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=cF4duI4LFScR76VDIsJ9%2Bw%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
71,https://in.linkedin.com/jobs/view/jv-ventures-marketing-analyst-at-jv-ventures-3793208180?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=0P69zMXYO5FN4LDtuxIeXw%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
72,https://in.linkedin.com/jobs/view/business-analyst-at-inventionyard-3678197854?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=yDQndKAjA0Nelo14w7n%2F%2Bg%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
73,https://in.linkedin.com/jobs/view/ba-da-at-infovision-inc-3798393152?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=wVN%2Bzg36eLOQ04Pcx8qT6w%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
74,https://in.linkedin.com/jobs/view/business-analyst-at-accellor-3627627272?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=YsLwTOVpL3x%2Bxa%2Fc0FygzA%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
75,https://in.linkedin.com/jobs/view/business-analyst-at-people-prime-worldwide-3792606126?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=oDoVPpCDdj16Gioyf2s9fg%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
76,https://in.linkedin.com/jobs/view/business-analyst-serole-technologies-at-serole-technologies-3800919361?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=EA9u7u0M7FicGh7F1k9rRw%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
77,https://in.linkedin.com/jobs/view/business-analyst-at-computer-software-solutions-international-llc-3792384747?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=%2BaWzXaoLQVZHfZSARj33nQ%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
78,https://in.linkedin.com/jobs/view/business-analyst-at-tvisha-technologies-incorporation-3792622178?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=xK3pkx5ZLgTvu9hmtJnzSg%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
79,https://in.linkedin.com/jobs/view/business-analyst-at-shamira-talent-solution-llp-3792617571?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=rhZv85awuZhIhcLymNl26g%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
80,https://in.linkedin.com/jobs/view/leads-management-am-central-leads-management-team-isg-at-amazon-3801103852?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=pf8XcpNEyMokkU%2Fd3zYPhQ%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
81,https://in.linkedin.com/jobs/view/lkn-for-bussiness-analyst-1-plus-exp-at-revalsys-technologies-3799535327?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=H4MP6KfX83ORck5uL287eQ%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
82,https://in.linkedin.com/jobs/view/looking-for-1-plus-years-exp-business-analyst-at-revalsys-technologies-3803172527?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=iJir2889E%2FFGW%2BcuH9hT%2BQ%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
83,https://in.linkedin.com/jobs/view/business-analyst-finops-gar-assurance-at-amazon-3749374899?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=6hsrY2XDHHfeM2M2qfwosA%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
84,https://in.linkedin.com/jobs/view/business-analyst-at-tvisha-technologies-incorporation-3792615821?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=8O0KW3oyEkTSskemY1m5kA%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
85,https://in.linkedin.com/jobs/view/p-c-experience-business-analyst-at-fusion-plus-solutions-inc-3777023582?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=Q%2BgSVAWpaujVqVj%2FLtsPNw%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
86,https://in.linkedin.com/jobs/view/senior-marketing-analyst-at-camp-systems-international-inc-3808136215?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=8d825zCrJUpkxpNFBiGJsA%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card
87,https://in.linkedin.com/jobs/view/business-analyst-at-hirextra-world-s-first-staffing-aggregator-3704032725?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=%2Bej5XYQq9ABeioEkIoYBKg%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
88,https://in.linkedin.com/jobs/view/business-analyst-at-skillety-3682680947?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=6Sp1D%2FVifVaafmnN9E%2FNVA%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
89,https://in.linkedin.com/jobs/view/business-analyst-at-fertis-india-private-limited-3792395159?refId=aOKMblr0ZZu8tyF2DXIPdA%3D%3D&trackingId=kBUETEl57jhe4EQzsv%2BSbg%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card
